scroll,z,k,seed,cell,x,y,inside
PHercParis4,57589,13,20331504,d,17633.504761118045,18088.266062502622,1
PHercParis4,57589,14,20332504,a,17416.522875583218,17881.713795075622,1
PHercParis4,57589,14,20332504,b,16966.522875583218,17943.713795075622,1
PHercParis4,57589,14,20332504,c,17249.522875583218,18056.713795075622,1
PHercParis4,57589,14,20332504,d,18244.21734141936,17742.04155583463,1
PHercParis4,57589,15,20333504,a,17353.664633613236,18041.423312285307,1
PHercParis4,57589,15,20333504,b,17219.664633613236,17634.423312285307,1
PHercParis4,57589,15,20333504,c,17353.664633613236,18041.423312285307,1
PHercParis4,57589,15,20333504,d,17219.664633613236,17634.423312285307,1
PHercParis4,57589,16,20334504,a,17431.59481093011,18057.673444144642,1
PHercParis4,57589,16,20334504,b,17546.59481093011,18227.673444144642,1
PHercParis4,57589,16,20334504,c,17431.59481093011,18057.673444144642,1
PHercParis4,57589,16,20334504,d,17546.59481093011,18227.673444144642,1
PHercParis4,57589,17,20335504,a,17367.931793791617,18051.121781919468,1
PHercParis4,57589,17,20335504,b,17113.931793791617,18148.121781919468,1
PHercParis4,57589,17,20335504,c,17367.931793791617,18051.121781919468,1
PHercParis4,57589,17,20335504,d,17113.931793791617,18148.121781919468,1
PHercParis4,57589,18,20336504,a,17475.857243491326,17986.95554554714,1
PHercParis4,57589,18,20336504,b,17719.857243491326,17841.95554554714,1
PHercParis4,57589,18,20336504,c,17475.285904104516,17985.983011095486,1
PHercParis4,57589,18,20336504,d,17720.126635769648,17840.930765363286,1
PHercParis4,57589,19,20337504,a,17425.146717498617,18052.095843031162,1
PHercParis4,57589,19,20337504,b,17050.146717498617,18136.095843031162,1
PHercParis4,57589,19,20337504,c,17425.146717498617,18052.095843031162,1
PHercParis4,57589,19,20337504,d,17050.146717498617,18136.095843031162,1
PHercParis4,60663,0,20321578,a,17881.34291756771,18326.588317837388,1
PHercParis4,60663,0,20321578,b,17517.34291756771,18136.588317837388,1
PHercParis4,60663,0,20321578,c,17881.34291756771,18326.588317837388,1
PHercParis4,60663,0,20321578,d,17517.34291756771,18136.588317837388,1
PHercParis4,60663,1,20322578,a,17685.481475712844,18546.672729009904,1
PHercParis4,60663,1,20322578,b,17497.481475712844,18478.672729009904,1
PHercParis4,60663,1,20322578,c,17685.481475712844,18546.672729009904,1
PHercParis4,60663,1,20322578,d,17497.481475712844,18478.672729009904,1
PHercParis4,60663,2,20323578,a,18019.186164669383,18287.055172754026,1
PHercParis4,60663,2,20323578,b,17928.186164669383,18565.055172754026,1
PHercParis4,60663,2,20323578,c,18019.186164669383,18287.055172754026,1
PHercParis4,60663,2,20323578,d,17928.186164669383,18565.055172754026,1
PHercParis4,60663,3,20324578,a,17947.38815727923,18432.86728377605,1
PHercParis4,60663,3,20324578,b,17947.38815727923,18485.86728377605,1
PHercParis4,60663,3,20324578,c,17947.38815727923,18432.86728377605,1
PHercParis4,60663,3,20324578,d,17947.38815727923,18485.86728377605,1
PHercParis4,60663,4,20325578,a,17960.06481757503,18364.443599244292,1
PHercParis4,60663,4,20325578,b,17360.06481757503,18674.443599244292,1
PHercParis4,60663,4,20325578,c,17960.06481757503,18364.443599244292,1
PHercParis4,60663,4,20325578,d,17947.933855828225,18668.14852324281,1
PHercParis4,60663,5,20326578,a,17919.185764710335,18401.985389090576,1
PHercParis4,60663,5,20326578,b,18068.185764710335,18384.985389090576,1
PHercParis4,60663,5,20326578,c,17919.185764710335,18401.985389090576,1
PHercParis4,60663,5,20326578,d,18068.185764710335,18384.985389090576,1
