section,p,distance_units,weighted_sum,weighted_mean
f1 spiral,1.0,2570.822,0.8010875524326231,0.5034565858649352
f1 spiral,1.0,2792.821,0.7361309998110204,0.504434854851455
f1 spiral,1.0,3033.992,0.676636754026286,0.5052402111667982
f1 spiral,1.0,3295.988,0.622098681156798,0.5059061716536184
f1 spiral,1.0,3580.608,0.5720689148020774,0.5064588675365589
f1 spiral,1.0,3889.807,0.5261484434093893,0.5069189368523114
f1 spiral,1.0,4225.706,0.4839798066368035,0.507302854325692
f1 spiral,1.0,4590.611,0.44524131218593177,0.5076238886061326
f1 spiral,1.0,4987.027,0.4096423735447454,0.5078928057875746
f1 spiral,1.0,5417.675,0.3769196907071589,0.5081183959364143
f1 spiral,1.0,5885.511,0.346834076367318,0.5083078734555125
f1 spiral,1.0,6393.746,0.31916778456155653,0.5084671857643087
f1 spiral,1.0,6945.869,0.29372223641017187,0.5086012541909269
f1 spiral,1.0,7545.671,0.27031606416231235,0.5087141639617989
f1 spiral,1.0,8197.267,0.2487834137689883,0.5088093154338579
f1 spiral,1.0,8905.13,0.2289724600400637,0.5088895454474768
f1 spiral,1.0,9674.121,0.21074409863293186,0.5089572253872805
f1 spiral,1.0,10509.516,0.1939707867228493,0.5090143409050605
f1 spiral,1.0,11417.051,0.178535509939509,0.5090625570775797
f1 spiral,1.0,12402.955,0.16433085752564364,0.5091032719051877
f1 spiral,1.0,13473.996,0.15125819103846116,0.509137660412749
f1 spiral,1.0,14637.524,0.1392268945297297,0.5091667111294773
f1 spiral,1.0,15901.528,0.12815369619120573,0.5091912563552053
f1 spiral,1.0,17274.682,0.11796205307499885,0.5092119973367758
f1 spiral,1.0,18766.414,0.10858159179415941,0.5092295252577982
f1 spiral,1.0,20386.962,0.0999475991523588,0.5092443387722607
f1 spiral,1.0,22147.451,0.09200055749947372,0.5092568586760122
f1 spiral,1.0,24059.963,0.08468572030492297,0.5092674402014787
f1 spiral,1.0,26137.629,0.07795272401526658,0.5092763833339109
f1 spiral,1.0,28394.708,0.07175523274182215,0.5092839414772347
f1 spiral,1.0,30846.695,0.06605061272711321,0.5092903287406525
f1 spiral,1.0,33510.419,0.0607996338807294,0.5092957260707326
f1 spiral,1.0,36404.165,0.05596619596728972,0.5093002864157566
f1 spiral,1.0,39547.798,0.051517077280755524,0.5093041390778761
f1 spiral,1.0,42962.894,0.04742170385752026,0.5093073933829035
f1 spiral,1.0,46672.896,0.04365193747121067,0.5093101417762648
f1 spiral,1.0,50703.27,0.040181880819495405,0.5093124624359856
f1 spiral,1.0,55081.682,0.036987698461066754,0.5093144214788993
f1 spiral,1.0,59838.186,0.034047452192279976,0.5093160748240255
f1 spiral,1.0,65005.431,0.03134094967008821,0.5093174697668595
f1 spiral,1.0,70618.886,0.028849605192867472,0.5093186463097632
f1 spiral,1.0,76717.084,0.026556311645095337,0.5093196382864977
f1 spiral,1.0,83341.883,0.024445322696970247,0.509320474312941
f1 spiral,1.0,90538.758,0.02250214442706424,0.5093211785909916
f1 spiral,1.0,98357.109,0.020713435605929368,0.5093217715884338
f1 spiral,1.0,106850.603,0.01906691594203722,0.5093222706139768
f1 spiral,1.0,116077.542,0.017551281649209736,0.5093226903036816
f1 spiral,1.0,126101.26,0.01615612774738613,0.5093230430324742
f1 spiral,1.0,136990.562,0.014871876556685516,0.5093233392623028
f1 spiral,1.0,148820.195,0.013689711888713471,0.5093235878367195
f1 spiral,1.0,161671.361,0.01260151847931771,0.5093237962301372
f1 spiral,1.0,175632.271,0.01159982624387427,0.5093239707587484
f1 spiral,1.0,190798.756,0.010677758969986635,0.509324116759003
f1 spiral,1.0,207274.923,0.009828987093484525,0.5093242387386429
f1 spiral,1.0,225173.867,0.00904768423206302,0.5093243405045063
f1 spiral,1.0,244618.449,0.00832848717702645,0.5093244252706823
f1 spiral,1.0,265742.142,0.0076664590675971575,0.5093244957500287
f1 spiral,1.0,288689.943,0.007057055494296442,0.5093245542316133
